IMO No,Class No,Ship Name,MoU,Ship Risk Profile,Inspection Selection Scheme,Last Periodical Survey,Update Date
9323510,761367,HYUNDAI BANGKOK,Paris,Standard,Priority I,2025-06-18,2025-09-15
9323510,761367,HYUNDAI BANGKOK,Tokyo,Standard,No Priority,2025-06-18,2025-09-15
9323522,761549,HYUNDAI JAKARTA,USCG,PSC B,Priority I,2025-07-29,2025-09-15
9323522,761549,HYUNDAI JAKARTA,Paris,Standard,Priority I,2025-07-29,2025-09-15
9323522,761549,HYUNDAI JAKARTA,Tokyo,Standard,Priority I,2025-07-29,2025-09-15
9323936,800103,PLATA SINGAPORE,USCG,PSC B,Priority I,2025-08-18,2025-09-15
9323936,800103,PLATA SINGAPORE,Paris,Standard,Priority I,2025-08-18,2025-09-15
9323936,800103,PLATA SINGAPORE,Tokyo,Low,Priority I,2025-08-18,2025-09-15
9324124,600043,HL BALTIMORE,USCG,PSC B,Priority I,2025-08-13,2025-09-15
9324124,600043,HL BALTIMORE,Paris,Standard,Priority I,2025-08-13,2025-09-15
9324124,600043,HL BALTIMORE,Tokyo,High,No Priority,2025-08-13,2025-09-15
9324215,400067,G SILVER,USCG,PSC B,Priority I,2025-09-07,2025-09-15
9324215,400067,G SILVER,Paris,High,Priority I,2025-09-07,2025-09-15
9324215,400067,G SILVER,Tokyo,Standard,No Priority,2025-09-07,2025-09-15
9324502,659749,WHITE ROSE,USCG,PSC B,Priority I,2025-08-31,2025-09-15
9324502,659749,WHITE ROSE,Paris,Standard,No Priority,2025-08-31,2025-09-15
9324502,659749,WHITE ROSE,Tokyo,High,No Priority,2025-08-31,2025-09-15
9325221,761319,GRAND RUBY,USCG,PSC B,Priority I,2025-06-05,2025-09-15
9325221,761319,GRAND RUBY,Paris,Standard,Priority I,2025-06-05,2025-09-15
9325221,761319,GRAND RUBY,Tokyo,Standard,No Priority,2025-06-05,2025-09-15
9325233,761535,GRAND SAPPHIRE,USCG,PSC B,No Priority,2025-09-06,2025-09-15
9325233,761535,GRAND SAPPHIRE,Paris,Standard,Priority I,2025-09-06,2025-09-15
9325233,761535,GRAND SAPPHIRE,Tokyo,Standard,Priority II,2025-09-06,2025-09-15
9325441,600047,X-PRESS MACHU PICCHU,USCG,PSC B,Priority I,2025-04-13,2025-09-15
9325441,600047,X-PRESS MACHU PICCHU,Paris,Low,Priority II,2025-04-13,2025-09-15
9325441,600047,X-PRESS MACHU PICCHU,Tokyo,Standard,Priority II,2025-04-13,2025-09-15
9325788,761229,DREAM DIAMOND,USCG,PSC C,No Priority,2024-11-20,2025-09-15
9325788,761229,DREAM DIAMOND,Paris,Standard,Priority I,2024-11-20,2025-09-15
9325788,761229,DREAM DIAMOND,Tokyo,Standard,Priority I,2024-11-20,2025-09-15
9325790,762147,DREAM DIVA,USCG,PSC B,Priority I,2025-06-30,2025-09-15
9325790,762147,DREAM DIVA,Paris,Standard,Priority I,2025-06-30,2025-09-15
9325790,762147,DREAM DIVA,Tokyo,Standard,No Priority,2025-06-30,2025-09-15
9326213,500025,SINAR MANDALIKA,USCG,PSC B,Priority I,2025-04-24,2025-09-15
9326213,500025,SINAR MANDALIKA,Paris,Standard,Priority I,2025-04-24,2025-09-15
9326213,500025,SINAR MANDALIKA,Tokyo,High,Priority II,2025-04-24,2025-09-15
9326885,800115,ANAYA,USCG,PSC B,Priority I,2025-09-07,2025-09-15
9326885,800115,ANAYA,Paris,Standard,Priority I,2025-09-07,2025-09-15
9326885,800115,ANAYA,Tokyo,Standard,Priority I,2025-09-07,2025-09-15
9326990,600073,NCL AVERØY,USCG,PSC B,Priority I,2025-04-24,2025-09-15
9326990,600073,NCL AVERØY,Paris,Standard,No Priority,2025-04-24,2025-09-15
9326990,600073,NCL AVERØY,Tokyo,High,Priority I,2025-04-24,2025-09-15
9328481,600018,GERHARD SCHULTE,USCG,PSC C,No Priority,2025-06-18,2025-09-15
9328481,600018,GERHARD SCHULTE,Paris,Standard,No Priority,2025-06-18,2025-09-15
9328481,600018,GERHARD SCHULTE,Tokyo,Low,Priority II,2025-06-18,2025-09-15
9328493,600027,GOTTFRIED SCHULTE,USCG,PSC B,Priority I,2025-08-05,2025-09-15
9328493,600027,GOTTFRIED SCHULTE,Paris,Standard,Priority I,2025-08-05,2025-09-15
9328493,600027,GOTTFRIED SCHULTE,Tokyo,Low,Priority I,2025-08-05,2025-09-15
9329461,700044,MORNING CELLO,USCG,PSC B,Priority I,2025-09-02,2025-09-15
9329461,700044,MORNING CELLO,Paris,Standard,No Priority,2025-09-02,2025-09-15
9329461,700044,MORNING CELLO,Tokyo,Standard,Priority I,2025-09-02,2025-09-15
9329576,500023,OSAKA VOYAGER,USCG,PSC B,Priority I,2025-06-27,2025-09-15
9329576,500023,OSAKA VOYAGER,Paris,Standard,Priority I,2025-06-27,2025-09-15
9329576,500023,OSAKA VOYAGER,Tokyo,High,No Priority,2025-06-27,2025-09-15
9329588,500021,HAKATA VOYAGER,USCG,PSC B,Priority I,2025-07-18,2025-09-15
9329588,500021,HAKATA VOYAGER,Paris,Standard,Priority I,2025-07-18,2025-09-15
9329588,500021,HAKATA VOYAGER,Tokyo,Standard,No Priority,2025-07-18,2025-09-15
9329590,500022,VOSTOCHNY VOYAGER,USCG,PSC B,Priority I,2025-09-10,2025-09-15
9329590,500022,VOSTOCHNY VOYAGER,Paris,Standard,Priority I,2025-09-10,2025-09-15
9329590,500022,VOSTOCHNY VOYAGER,Tokyo,High,Priority II,2025-09-10,2025-09-15
9330070,700012,MAERSK SEMARANG,USCG,PSC B,Priority I,2025-02-25,2025-09-15
9330070,700012,MAERSK SEMARANG,Paris,Standard,Priority I,2025-02-25,2025-09-15
9330070,700012,MAERSK SEMARANG,Tokyo,High,No Priority,2025-02-25,2025-09-15
9330240,700045,MSC SIGMA F,USCG,PSC B,Priority I,2025-06-17,2025-09-15
9330240,700045,MSC SIGMA F,USCG,PSC B,Priority I,2025-06-17,2025-09-15
9330240,700045,MSC SIGMA F,Paris,Standard,Priority I,2025-06-17,2025-09-15
9330240,700045,MSC SIGMA F,Paris,Standard,Priority I,2025-06-17,2025-09-15
9330240,700045,MSC SIGMA F,Tokyo,High,Priority I,2025-06-17,2025-09-15
9330240,700045,MSC SIGMA F,Tokyo,High,Priority I,2025-06-17,2025-09-15
9330343,600100,LONDON STAR,USCG,PSC C,No Priority,2025-08-25,2025-09-15
9330343,600100,LONDON STAR,Paris,High,Priority I,2025-08-25,2025-09-15
9330343,600100,LONDON STAR,Tokyo,High,Priority I,2025-08-25,2025-09-15
9330381,500060,BEGONIA,USCG,PSC B,Priority I,2024-11-06,2025-09-15
9330381,500060,BEGONIA,Paris,Standard,Priority I,2024-11-06,2025-09-15
9330381,500060,BEGONIA,Tokyo,Standard,No Priority,2024-11-06,2025-09-15
9330393,600084,THAI CHEMI,USCG,PSC B,Priority I,2025-05-09,2025-09-15
9330393,600084,THAI CHEMI,Paris,Standard,Priority I,2025-05-09,2025-09-15
9330393,600084,THAI CHEMI,Tokyo,Low,No Priority,2025-05-09,2025-09-15
9330408,600039,WOOJIN KELLY,USCG,PSC B,Priority I,2025-07-24,2025-09-15
9330408,600039,WOOJIN KELLY,Paris,Standard,Priority I,2025-07-24,2025-09-15
9330408,600039,WOOJIN KELLY,Tokyo,Standard,No Priority,2025-07-24,2025-09-15
9330410,600086,BANGKOK CHEMI,USCG,PSC B,Priority I,2025-01-17,2025-09-15
9330410,600086,BANGKOK CHEMI,Paris,Standard,Priority I,2025-01-17,2025-09-15
9330410,600086,BANGKOK CHEMI,Tokyo,Low,No Priority,2025-01-17,2025-09-15
9330460,500036,SAEHAN INTRASIA,USCG,PSC B,Priority I,2025-07-16,2025-09-15
9330460,500036,SAEHAN INTRASIA,USCG,PSC B,Priority I,2025-07-16,2025-09-15
9330460,500036,SAEHAN INTRASIA,Paris,High,No Priority,2025-07-16,2025-09-15
9330460,500036,SAEHAN INTRASIA,Paris,High,No Priority,2025-07-16,2025-09-15
9330460,500036,SAEHAN INTRASIA,Tokyo,Low,No Priority,2025-07-16,2025-09-15
9330460,500036,SAEHAN INTRASIA,Tokyo,Low,No Priority,2025-07-16,2025-09-15
9330587,700050,DS OCEAN,USCG,PSC B,Priority I,2025-03-07,2025-09-15
9330587,700050,DS OCEAN,Paris,Standard,Priority I,2025-03-07,2025-09-15
9330587,700050,DS OCEAN,Tokyo,Low,No Priority,2025-03-07,2025-09-15
9330707,761551,HYUNDAI FORWARD,USCG,PSC B,Priority I,2025-07-26,2025-09-15
9330707,761551,HYUNDAI FORWARD,Paris,Standard,Priority I,2025-07-26,2025-09-15
9330707,761551,HYUNDAI FORWARD,Tokyo,Standard,No Priority,2025-07-26,2025-09-15
9330719,761839,HYUNDAI UNITY,USCG,PSC B,Priority I,2025-07-11,2025-09-15
9330719,761839,HYUNDAI UNITY,Paris,Standard,Priority I,2025-07-11,2025-09-15
9330719,761839,HYUNDAI UNITY,Tokyo,High,No Priority,2025-07-11,2025-09-15
9330721,762163,HYUNDAI GRACE,USCG,PSC B,Priority I,2025-09-07,2025-09-15
9330721,762163,HYUNDAI GRACE,Paris,Standard,Priority I,2025-09-07,2025-09-15
9330721,762163,HYUNDAI GRACE,Tokyo,High,Priority II,2025-09-07,2025-09-15
9331945,558368,DAEHAN NO.1,USCG,PSC B,Priority I,2025-01-08,2025-09-15
9331945,558368,DAEHAN NO.1,Paris,Standard,Priority I,2025-01-08,2025-09-15
9331945,558368,DAEHAN NO.1,Tokyo,Standard,Priority I,2025-01-08,2025-09-15
9332078,700095,SHEN MI,USCG,PSC B,Priority I,2025-08-20,2025-09-15
9332078,700095,SHEN MI,Paris,Standard,Priority I,2025-08-20,2025-09-15
9332078,700095,SHEN MI,Tokyo,Standard,Priority I,2025-08-20,2025-09-15
9332169,762513,ATLANTIC CROWN,USCG,PSC B,Priority I,2025-09-16,2025-09-15
9332169,762513,ATLANTIC CROWN,Paris,Standard,Priority I,2025-09-16,2025-09-15
9332169,762513,ATLANTIC CROWN,Tokyo,Low,No Priority,2025-09-16,2025-09-15
9332183,763084,ATLANTIC EAGLE,USCG,PSC C,No Priority,2025-06-22,2025-09-15
9332183,763084,ATLANTIC EAGLE,Paris,Standard,No Priority,2025-06-22,2025-09-15
9332183,763084,ATLANTIC EAGLE,Tokyo,Low,No Priority,2025-06-22,2025-09-15
9332303,763139,ATLANTIC FRONTIER,USCG,PSC C,No Priority,2025-06-12,2025-09-15
9332303,763139,ATLANTIC FRONTIER,Paris,Standard,Priority II,2025-06-12,2025-09-15
9332303,763139,ATLANTIC FRONTIER,Tokyo,Low,Priority I,2025-06-12,2025-09-15
9332418,600024,NEW STAR,USCG,PSC B,Priority I,2025-04-24,2025-09-15
9332418,600024,NEW STAR,Paris,Standard,Priority I,2025-04-24,2025-09-15
9332418,600024,NEW STAR,Tokyo,High,Priority I,2025-04-24,2025-09-15
9332420,700081,LS VENUS,USCG,PSC B,Priority I,2025-04-16,2025-09-15
9332420,700081,LS VENUS,Paris,Standard,Priority I,2025-04-16,2025-09-15
9332420,700081,LS VENUS,Tokyo,High,No Priority,2025-04-16,2025-09-15
9333072,700082,NATAL,USCG,PSC B,Priority I,2025-07-16,2025-09-15
9333072,700082,NATAL,Paris,Standard,Priority I,2025-07-16,2025-09-15
9333072,700082,NATAL,Tokyo,High,Priority I,2025-07-16,2025-09-15
9333125,600004,B. ATLANTIC,USCG,PSC B,Priority I,2025-06-27,2025-09-15
9333125,600004,B. ATLANTIC,Paris,Standard,Priority I,2025-06-27,2025-09-15
9333125,600004,B. ATLANTIC,Tokyo,High,Priority I,2025-06-27,2025-09-15
9333242,600089,FLORENCE,USCG,PSC B,No Priority,2025-02-15,2025-09-15
9333242,600089,FLORENCE,Paris,Standard,No Priority,2025-02-15,2025-09-15
9333242,600089,FLORENCE,Tokyo,Standard,Priority I,2025-02-15,2025-09-15
9333266,700093,STAR MANN,USCG,PSC B,Priority I,2025-06-24,2025-09-15
9333266,700093,STAR MANN,Paris,Standard,Priority I,2025-06-24,2025-09-15
9333266,700093,STAR MANN,Tokyo,Standard,No Priority,2025-06-24,2025-09-15
9333620,800102,KMARIN DIAMOND,USCG,PSC B,Priority I,2024-11-15,2025-09-15
9333620,800102,KMARIN DIAMOND,Paris,Standard,Priority I,2024-11-15,2025-09-15
9333620,800102,KMARIN DIAMOND,Tokyo,Standard,Priority I,2024-11-15,2025-09-15
9333785,700099,SEADAR,USCG,PSC C,No Priority,2025-08-22,2025-09-15
9333785,700099,SEADAR,Paris,Low,No Priority,2025-08-22,2025-09-15
9333785,700099,SEADAR,Tokyo,Standard,No Priority,2025-08-22,2025-09-15
9334234,864438,GRAND VICTORY,USCG,PSC B,Priority I,2025-06-11,2025-09-15
9334234,864438,GRAND VICTORY,Paris,Standard,No Priority,2025-06-11,2025-09-15
9334234,864438,GRAND VICTORY,Tokyo,Standard,Priority II,2025-06-11,2025-09-15
9334246,865291,DREAM JASMINE,USCG,PSC B,Priority I,2025-09-03,2025-09-15
9334246,865291,DREAM JASMINE,Paris,Standard,Priority I,2025-09-03,2025-09-15
9334246,865291,DREAM JASMINE,Tokyo,Standard,No Priority,2025-09-03,2025-09-15
9335240,660241,WINNING KINDNESS,USCG,PSC B,Priority I,2025-07-29,2025-09-15
9335240,660241,WINNING KINDNESS,Paris,Standard,Priority I,2025-07-29,2025-09-15
9335240,660241,WINNING KINDNESS,Tokyo,Standard,Priority I,2025-07-29,2025-09-15
9336050,863167,MORNING CONDUCTOR,USCG,PSC B,Priority I,2025-09-08,2025-09-15
9336050,863167,MORNING CONDUCTOR,Paris,Standard,Priority I,2025-09-08,2025-09-15
9336050,863167,MORNING CONDUCTOR,Tokyo,Low,No Priority,2025-09-08,2025-09-15
9336062,863457,MORNING CELESTA,USCG,PSC B,Priority I,2025-07-07,2025-09-15
9336062,863457,MORNING CELESTA,Paris,Standard,No Priority,2025-07-07,2025-09-15
9336062,863457,MORNING CELESTA,Tokyo,Low,Priority II,2025-07-07,2025-09-15
9336074,863798,MORNING COMPOSER,USCG,PSC B,Priority I,2025-08-29,2025-09-15
9336074,863798,MORNING COMPOSER,Paris,Standard,Priority II,2025-08-29,2025-09-15
9336074,863798,MORNING COMPOSER,Tokyo,Low,Priority II,2025-08-29,2025-09-15
9336086,864175,MORNING CAROL,USCG,PSC B,No Priority,2025-07-11,2025-09-15
9336086,864175,MORNING CAROL,Paris,Standard,No Priority,2025-07-11,2025-09-15
9336086,864175,MORNING CAROL,Tokyo,Standard,No Priority,2025-07-11,2025-09-15
9336359,600056,MSC OLGA F,USCG,PSC B,Priority I,2025-07-29,2025-09-15
9336359,600056,MSC OLGA F,Paris,Standard,No Priority,2025-07-29,2025-09-15
9336359,600056,MSC OLGA F,Tokyo,Standard,Priority I,2025-07-29,2025-09-15
9336373,700009,WOOYANG FRIEND,USCG,PSC B,Priority I,2025-08-19,2025-09-15
9336373,700009,WOOYANG FRIEND,Paris,High,Priority I,2025-08-19,2025-09-15
9336373,700009,WOOYANG FRIEND,Tokyo,Standard,Priority II,2025-08-19,2025-09-15
9336660,700092,GREEN ONE,USCG,PSC B,Priority I,2025-08-30,2025-09-15
9336660,700092,GREEN ONE,Paris,High,Priority I,2025-08-30,2025-09-15
9336660,700092,GREEN ONE,Tokyo,Low,Priority I,2025-08-30,2025-09-15
9337030,800049,SONGA IRIDIUM,USCG,PSC B,Priority I,2025-06-04,2025-09-15
9337030,800049,SONGA IRIDIUM,Paris,Standard,Priority I,2025-06-04,2025-09-15
9337030,800049,SONGA IRIDIUM,Tokyo,Standard,Priority I,2025-06-04,2025-09-15
9337224,700075,BBC ROSARIO,USCG,PSC B,No Priority,2025-07-31,2025-09-15
9337224,700075,BBC ROSARIO,Paris,Standard,Priority I,2025-07-31,2025-09-15
9337224,700075,BBC ROSARIO,Tokyo,Standard,Priority II,2025-07-31,2025-09-15
9337298,700003,FORTUNE JIWON,USCG,PSC B,Priority I,2025-08-21,2025-09-15
9337298,700003,FORTUNE JIWON,Paris,Standard,Priority I,2025-08-21,2025-09-15
9337298,700003,FORTUNE JIWON,Tokyo,Standard,Priority I,2025-08-21,2025-09-15
9337339,700098,LS NEPTUNE,USCG,PSC B,Priority I,2025-06-20,2025-09-15
9337339,700098,LS NEPTUNE,Paris,High,Priority I,2025-06-20,2025-09-15
9337339,700098,LS NEPTUNE,Tokyo,High,No Priority,2025-06-20,2025-09-15
9337511,863644,ATLANTIC GRACE,USCG,PSC C,No Priority,2025-07-29,2025-09-15
9337511,863644,ATLANTIC GRACE,Paris,Standard,Priority I,2025-07-29,2025-09-15
9337511,863644,ATLANTIC GRACE,Tokyo,Low,Priority II,2025-07-29,2025-09-15
9337523,863837,ATLANTIC STAR,USCG,PSC C,No Priority,2025-09-14,2025-09-15
9337523,863837,ATLANTIC STAR,Paris,Standard,No Priority,2025-09-14,2025-09-15
9337523,863837,ATLANTIC STAR,Tokyo,Low,Priority II,2025-09-14,2025-09-15
9337860,761632,GALAXY SAMBU,USCG,PSC B,Priority I,2025-06-13,2025-09-15
9337860,761632,GALAXY SAMBU,Paris,Standard,Priority I,2025-06-13,2025-09-15
9337860,761632,GALAXY SAMBU,Tokyo,Standard,No Priority,2025-06-13,2025-09-15
9338694,700073,MORNING CHARLOTTE,USCG,PSC B,Priority I,2025-05-14,2025-09-15
9338694,700073,MORNING CHARLOTTE,Paris,Standard,Priority I,2025-05-14,2025-09-15
9338694,700073,MORNING CHARLOTTE,Tokyo,Standard,No Priority,2025-05-14,2025-09-15
9338711,800078,MORNING CATHERINE,USCG,PSC B,No Priority,2025-09-06,2025-09-15
9338711,800078,MORNING CATHERINE,Paris,Standard,No Priority,2025-09-06,2025-09-15
9338711,800078,MORNING CATHERINE,Tokyo,Low,No Priority,2025-09-06,2025-09-15
9338723,800034,MORNING CAROLINE,USCG,PSC B,Priority I,2025-01-15,2025-09-15
9338723,800034,MORNING CAROLINE,Paris,Standard,Priority I,2025-01-15,2025-09-15
9338723,800034,MORNING CAROLINE,Tokyo,Low,No Priority,2025-01-15,2025-09-15
9339600,600075,ALIOTH,USCG,PSC B,Priority I,2025-07-24,2025-09-15
9339600,600075,ALIOTH,Paris,Standard,Priority I,2025-07-24,2025-09-15
9339600,600075,ALIOTH,Tokyo,Standard,No Priority,2025-07-24,2025-09-15
9339612,600074,ALGOL,USCG,PSC B,Priority I,2024-12-05,2025-09-15
9339612,600074,ALGOL,Paris,Standard,Priority I,2024-12-05,2025-09-15
9339612,600074,ALGOL,Tokyo,Low,Priority II,2024-12-05,2025-09-15
9339806,762246,GRAND HERO,USCG,PSC B,Priority I,2025-07-22,2025-09-15
9339806,762246,GRAND HERO,Paris,Standard,No Priority,2025-07-22,2025-09-15
9339806,762246,GRAND HERO,Tokyo,Standard,No Priority,2025-07-22,2025-09-15
9339844,863934,GRAND PEARL,USCG,PSC B,Priority I,2025-04-30,2025-09-15
9339844,863934,GRAND PEARL,Paris,Standard,No Priority,2025-04-30,2025-09-15
9339844,863934,GRAND PEARL,Tokyo,Standard,No Priority,2025-04-30,2025-09-15
9340427,600031,CT CONFIDENCE,USCG,PSC B,Priority I,2025-03-12,2025-09-15
9340427,600031,CT CONFIDENCE,Paris,Standard,Priority I,2025-03-12,2025-09-15
9340427,600031,CT CONFIDENCE,Tokyo,Low,No Priority,2025-03-12,2025-09-15
9340439,600080,NO2. OCEAN PIONEER,USCG,PSC B,Priority I,2025-05-07,2025-09-15
9340439,600080,NO2. OCEAN PIONEER,Paris,Standard,Priority I,2025-05-07,2025-09-15
9340439,600080,NO2. OCEAN PIONEER,Tokyo,Standard,Priority II,2025-05-07,2025-09-15
9340441,761293,EASTERLY BEECH GALAXY,USCG,PSC B,Priority I,2025-08-28,2025-09-15
9340441,761293,EASTERLY BEECH GALAXY,Paris,Standard,Priority I,2025-08-28,2025-09-15
9340441,761293,EASTERLY BEECH GALAXY,Tokyo,Low,No Priority,2025-08-28,2025-09-15
9340453,600078,OCEAN HOPE,USCG,PSC B,Priority I,2025-09-06,2025-09-15
9340453,600078,OCEAN HOPE,Paris,Standard,Priority I,2025-09-06,2025-09-15
9340453,600078,OCEAN HOPE,Tokyo,Low,No Priority,2025-09-06,2025-09-15
9340518,500065,SUNG HEE,USCG,PSC B,Priority I,2025-05-12,2025-09-15
9340518,500065,SUNG HEE,Paris,Standard,Priority I,2025-05-12,2025-09-15
9340518,500065,SUNG HEE,Tokyo,High,No Priority,2025-05-12,2025-09-15
9340570,863349,GRAND CHAMPION,USCG,PSC C,No Priority,2025-04-14,2025-09-15
9340570,863349,GRAND CHAMPION,Paris,Standard,No Priority,2025-04-14,2025-09-15
9340570,863349,GRAND CHAMPION,Tokyo,Standard,No Priority,2025-04-14,2025-09-15
9341330,967395,SUPER HERO,USCG,PSC B,Priority I,2025-07-24,2025-09-15
9341330,967395,SUPER HERO,Paris,Standard,Priority I,2025-07-24,2025-09-15
9341330,967395,SUPER HERO,Tokyo,High,No Priority,2025-07-24,2025-09-15
9341342,967547,SUPER INFINITY,USCG,PSC B,Priority I,2025-08-21,2025-09-15
9341342,967547,SUPER INFINITY,Paris,Standard,Priority I,2025-08-21,2025-09-15
9341342,967547,SUPER INFINITY,Tokyo,Standard,No Priority,2025-08-21,2025-09-15
9341354,900084,GT WIN,USCG,PSC B,Priority I,2025-07-21,2025-09-15
9341354,900084,GT WIN,Paris,High,Priority I,2025-07-21,2025-09-15
9341354,900084,GT WIN,Tokyo,High,No Priority,2025-07-21,2025-09-15
9342750,669331,GOLD GEMINI,USCG,PSC B,Priority I,2025-07-08,2025-09-15
9342750,669331,GOLD GEMINI,Paris,Standard,No Priority,2025-07-08,2025-09-15
9342750,669331,GOLD GEMINI,Tokyo,High,Priority II,2025-07-08,2025-09-15
9342839,600061,IVESTOS 6,USCG,PSC B,Priority I,2025-07-04,2025-09-15
9342839,600061,IVESTOS 6,Paris,Standard,Priority I,2025-07-04,2025-09-15
9342839,600061,IVESTOS 6,Tokyo,Standard,No Priority,2025-07-04,2025-09-15
9342841,600052,AMOY SUNNY,USCG,PSC B,Priority I,2025-08-20,2025-09-15
9342841,600052,AMOY SUNNY,Paris,Standard,Priority II,2025-08-20,2025-09-15
9342841,600052,AMOY SUNNY,Tokyo,Standard,Priority I,2025-08-20,2025-09-15
9342853,600054,IVESTOS X,USCG,PSC B,Priority I,2025-09-07,2025-09-15
9342853,600054,IVESTOS X,Paris,Standard,Priority I,2025-09-07,2025-09-15
9342853,600054,IVESTOS X,Tokyo,High,Priority II,2025-09-07,2025-09-15
9343314,700069,GNS HARVEST,USCG,PSC B,Priority I,2025-09-01,2025-09-15
9343314,700069,GNS HARVEST,Paris,Standard,Priority I,2025-09-01,2025-09-15
9343314,700069,GNS HARVEST,Tokyo,Standard,No Priority,2025-09-01,2025-09-15
9343326,762329,ATHINA,USCG,PSC B,Priority I,2025-05-28,2025-09-15
9343326,762329,ATHINA,Paris,Standard,Priority I,2025-05-28,2025-09-15
9343326,762329,ATHINA,Tokyo,Low,Priority II,2025-05-28,2025-09-15
9344162,600072,SUNNY ROUTE,USCG,PSC B,Priority I,2025-02-17,2025-09-15
9344162,600072,SUNNY ROUTE,Paris,Standard,Priority I,2025-02-17,2025-09-15
9344162,600072,SUNNY ROUTE,Tokyo,High,Priority I,2025-02-17,2025-09-15
9344461,763079,C. UTOPIA,USCG,PSC B,Priority I,2025-08-18,2025-09-15
9344461,763079,C. UTOPIA,Paris,High,Priority I,2025-08-18,2025-09-15
9344461,763079,C. UTOPIA,Tokyo,High,No Priority,2025-08-18,2025-09-15
9344473,863961,C. VISION,USCG,PSC B,Priority I,2025-07-28,2025-09-15
9344473,863961,C. VISION,Paris,Standard,Priority I,2025-07-28,2025-09-15
9344473,863961,C. VISION,Tokyo,High,Priority II,2025-07-28,2025-09-15
9344887,563096,S MERMAID,USCG,PSC B,Priority I,2025-06-02,2025-09-15
9344887,563096,S MERMAID,Paris,Standard,Priority I,2025-06-02,2025-09-15
9344887,563096,S MERMAID,Tokyo,High,No Priority,2025-06-02,2025-09-15
9345881,600090,LOYAL,USCG,PSC B,Priority I,2025-09-07,2025-09-15
9345881,600090,LOYAL,Paris,High,No Priority,2025-09-07,2025-09-15
9345881,600090,LOYAL,Tokyo,High,Priority I,2025-09-07,2025-09-15
9346043,800001,NEW SILVER,USCG,PSC B,Priority I,2025-03-09,2025-09-15
9346043,800001,NEW SILVER,Paris,Standard,Priority I,2025-03-09,2025-09-15
9346043,800001,NEW SILVER,Tokyo,High,Priority II,2025-03-09,2025-09-15
9346067,659717,GRAND ACE1,USCG,PSC B,Priority I,2025-06-09,2025-09-15
9346067,659717,GRAND ACE1,Paris,Standard,Priority I,2025-06-09,2025-09-15
9346067,659717,GRAND ACE1,Tokyo,Standard,No Priority,2025-06-09,2025-09-15
9346079,659765,GRAND ACE2,USCG,PSC B,Priority I,2025-06-03,2025-09-15
9346079,659765,GRAND ACE2,Paris,Standard,Priority I,2025-06-03,2025-09-15
9346079,659765,GRAND ACE2,Tokyo,Standard,Priority II,2025-06-03,2025-09-15
9346304,863303,HYUNDAI BRAVE,USCG,PSC B,Priority I,2025-07-23,2025-09-15
9346304,863303,HYUNDAI BRAVE,Paris,Standard,No Priority,2025-07-23,2025-09-15
9346304,863303,HYUNDAI BRAVE,Tokyo,Standard,Priority I,2025-07-23,2025-09-15
9346457,800093,ST HIKARI,USCG,PSC B,Priority I,2025-02-19,2025-09-15
9346457,800093,ST HIKARI,Paris,Standard,Priority I,2025-02-19,2025-09-15
9346457,800093,ST HIKARI,Tokyo,High,No Priority,2025-02-19,2025-09-15
9346483,600046,SINAR BUSAN,USCG,PSC B,Priority I,2025-06-23,2025-09-15
9346483,600046,SINAR BUSAN,Paris,Standard,Priority I,2025-06-23,2025-09-15
9346483,600046,SINAR BUSAN,Tokyo,Standard,Priority I,2025-06-23,2025-09-15
9346859,700097,ANLAN,USCG,PSC B,Priority I,2025-04-28,2025-09-15
9346859,700097,ANLAN,Paris,Standard,Priority I,2025-04-28,2025-09-15
9346859,700097,ANLAN,Tokyo,High,Priority I,2025-04-28,2025-09-15
9347152,700064,OCEAN PIONEER,USCG,PSC B,Priority I,2025-09-12,2025-09-15
9347152,700064,OCEAN PIONEER,Paris,Standard,Priority I,2025-09-12,2025-09-15
9347152,700064,OCEAN PIONEER,Tokyo,High,No Priority,2025-09-12,2025-09-15
9347425,763229,MAERSK ERIE,USCG,PSC B,No Priority,2025-03-14,2025-09-15
9347425,763229,MAERSK ERIE,Paris,Standard,Priority I,2025-03-14,2025-09-15
9347425,763229,MAERSK ERIE,Tokyo,Standard,Priority I,2025-03-14,2025-09-15
9347437,863365,KMTC COLOMBO,USCG,PSC B,Priority I,2025-02-10,2025-09-15
9347437,863365,KMTC COLOMBO,Paris,Standard,Priority I,2025-02-10,2025-09-15
9347437,863365,KMTC COLOMBO,Tokyo,Standard,No Priority,2025-02-10,2025-09-15
9347449,863607,KMTC MUNDRA,USCG,PSC B,Priority I,2025-09-01,2025-09-15
9347449,863607,KMTC MUNDRA,Paris,Standard,Priority I,2025-09-01,2025-09-15
9347449,863607,KMTC MUNDRA,Tokyo,High,Priority I,2025-09-01,2025-09-15
9347475,660027,DL BEGONIA,USCG,PSC B,Priority I,2025-07-28,2025-09-15
9347475,660027,DL BEGONIA,Paris,Standard,Priority I,2025-07-28,2025-09-15
9347475,660027,DL BEGONIA,Tokyo,High,Priority I,2025-07-28,2025-09-15
9347542,863496,HYUNDAI COURAGE,USCG,PSC B,Priority I,2025-07-08,2025-09-15
9347542,863496,HYUNDAI COURAGE,Paris,Standard,Priority I,2025-07-08,2025-09-15
9347542,863496,HYUNDAI COURAGE,Tokyo,Standard,No Priority,2025-07-08,2025-09-15
